"Date","Price","Open","High","Low","Change %"
"07/05/2011","108.48","108.48","108.48","108.48","-1.65%"
"07/04/2011","110.29","110.29","110.29","110.29","0.30%"
"07/01/2011","109.97","109.97","109.97","109.97","-1.11%"
"06/30/2011","111.20","111.20","111.20","111.20","-2.16%"
"06/29/2011","113.66","113.66","113.66","113.66","-2.13%"
"06/28/2011","116.14","116.14","116.14","116.14","-1.26%"
"06/27/2011","117.61","117.61","117.61","117.61","1.08%"
"06/24/2011","116.35","116.35","116.35","116.35","-0.21%"
"06/23/2011","116.60","116.60","116.60","116.60","2.61%"
"06/22/2011","113.64","113.64","113.64","113.64","0.19%"
"06/21/2011","113.43","113.43","113.43","113.43","-1.75%"
"06/20/2011","115.45","115.45","115.45","115.45","1.67%"
"06/17/2011","113.56","113.56","113.56","113.56","-0.87%"
"06/16/2011","114.55","114.55","114.55","114.55","3.36%"
"06/15/2011","110.82","110.82","110.82","110.82","0.68%"
"06/14/2011","110.07","110.07","110.07","110.07","-1.97%"
"06/13/2011","112.29","112.29","112.29","112.29","0.20%"
"06/10/2011","112.06","112.06","112.06","112.06","1.92%"
"06/09/2011","109.95","109.95","109.95","109.95","0.01%"
"06/08/2011","109.94","109.94","109.94","109.94","1.37%"
"06/07/2011","108.45","108.45","108.45","108.45","-0.46%"
"06/06/2011","108.95","108.95","108.95","108.95","1.52%"
"06/03/2011","107.32","107.32","107.32","107.32","0.94%"
"06/02/2011","106.33","106.33","106.33","106.33","1.42%"
"06/01/2011","104.84","104.84","104.84","104.84","0.23%"
"05/31/2011","104.59","104.59","104.59","104.59","-1.43%"
"05/30/2011","106.11","106.11","106.11","106.11","-0.21%"
"05/27/2011","106.33","106.33","106.33","106.33","0.47%"
"05/26/2011","105.83","105.83","105.83","105.83","1.19%"
"05/25/2011","104.59","104.59","104.59","104.59","1.21%"
"05/24/2011","103.34","103.34","103.34","103.34","-0.03%"
"05/23/2011","103.37","103.37","103.37","103.37","1.98%"
"05/20/2011","101.36","101.36","101.36","101.36","1.51%"
"05/19/2011","99.86","99.86","99.86","99.86","-0.38%"
"05/18/2011","100.24","100.24","100.24","100.24","-1.13%"
"05/17/2011","101.39","101.39","101.39","101.39","0.25%"
"05/16/2011","101.13","101.13","101.13","101.13","-1.19%"
"05/13/2011","102.36","102.36","102.36","102.36","-1.44%"
"05/12/2011","103.85","103.85","103.85","103.85","0.24%"
"05/11/2011","103.60","103.60","103.60","103.60","-0.24%"
"05/10/2011","103.85","103.85","103.85","103.85","-1.41%"
"05/09/2011","105.34","105.34","105.34","105.34","1.45%"
"05/06/2011","103.83","103.83","103.83","103.83","-0.72%"
"05/05/2011","104.59","104.59","104.59","104.59","0.36%"
"05/04/2011","104.21","104.21","104.21","104.21","0.35%"
"05/03/2011","103.85","103.85","103.85","103.85","-1.18%"
"05/02/2011","105.09","105.09","105.09","105.09","-0.70%"
"04/29/2011","105.83","105.83","105.83","105.83","-0.92%"
"04/28/2011","106.82","106.82","106.82","106.82","-0.23%"
